iter	Passed	Remaining
0	95	32942
1	177	30540
2	271	31077
3	353	30346
4	438	29999
5	531	30228
6	645	31356
7	724	30686
8	805	30243
9	890	30024
10	970	29647
11	1049	29309
12	1135	29181
13	1225	29161
14	1315	29107
15	1384	28637
16	1456	28277
17	1520	27793
18	1585	27364
19	1662	27181
20	1727	26815
21	1797	26546
22	1866	26290
23	1941	26126
24	2031	26164
25	2113	26089
26	2186	25915
27	2271	25877
28	2357	25850
29	2431	25687
30	2502	25506
31	2571	25314
32	2649	25206
33	2732	25159
34	2806	25019
35	2887	24942
36	2951	24729
37	3031	24651
38	3100	24484
39	3173	24360
40	3250	24256
41	3321	24120
42	3401	24050
43	3475	23936
44	3539	23757
45	3615	23655
46	3696	23593
47	3768	23476
48	3843	23372
49	3914	23253
50	3982	23112
51	4041	22928
52	4110	22802
53	4181	22690
54	4255	22592
55	4325	22478
56	4396	22366
57	4466	22254
58	4552	22223
59	4620	22099
60	4691	21996
61	4759	21879
62	4829	21772
63	4908	21704
64	4978	21598
65	5041	21462
66	5106	21339
67	5172	21221
68	5228	21065
69	5288	20928
70	5356	20820
71	5419	20697
72	5486	20594
73	5551	20481
74	5634	20434
75	5704	20342
76	5777	20257
77	5843	20152
78	5916	20069
79	5986	19980
80	6058	19896
81	6126	19798
82	6192	19697
83	6263	19609
84	6325	19496
85	6393	19404
86	6455	19292
87	6530	19221
88	6587	19096
89	6660	19020
90	6733	18943
91	6799	18845
92	6875	18777
93	6964	18745
94	7032	18655
95	7100	18565
96	7167	18472
97	7231	18374
98	7299	18284
99	7372	18211
100	7438	18117
101	7513	18047
102	7574	17944
103	7634	17837
104	7650	17633
105	7718	17549
106	7801	17497
107	7858	17389
108	7925	17305
109	7990	17216
110	8044	17103
111	8110	17017
112	8170	16918
113	8239	16840
114	8319	16784
115	8382	16692
116	8450	16611
117	8521	16536
118	8600	16477
119	8676	16413
120	8740	16324
121	8799	16229
122	8870	16153
123	8945	16088
124	8997	15979
125	9051	15875
126	9118	15795
127	9179	15705
128	9240	15616
129	9305	15532
130	9364	15440
131	9431	15361
132	9501	15288
133	9576	15222
134	9643	15143
135	9713	15070
136	9778	14988
137	9844	14909
138	9912	14833
139	9974	14747
140	10036	14662
141	10121	14612
142	10178	14520
143	10236	14431
144	10311	14364
145	10388	14302
146	10455	14225
147	10518	14143
148	10593	14077
149	10661	14001
150	10728	13926
151	10795	13848
152	10864	13776
153	10928	13696
154	10995	13619
155	11063	13545
156	11114	13450
157	11180	13374
158	11268	13323
159	11350	13266
160	11431	13206
161	11513	13147
162	11603	13097
163	11686	13040
164	11752	12962
165	11829	12898
166	11890	12816
167	11956	12739
168	12021	12661
169	12089	12587
170	12144	12499
171	12203	12416
172	12267	12338
173	12335	12264
174	12394	12181
175	12450	12096
176	12518	12023
177	12578	11942
178	12638	11862
179	12705	11787
180	12770	11711
181	12843	11643
182	12908	11567
183	12983	11501
184	13046	11424
185	13109	11347
186	13187	11283
187	13250	11206
188	13308	11125
189	13381	11057
190	13452	10987
191	13519	10914
192	13578	10834
193	13634	10753
194	13696	10676
195	13759	10600
196	13825	10526
197	13898	10458
198	13971	10390
199	14037	10317
200	14117	10254
201	14188	10184
202	14267	10120
203	14337	10050
204	14402	9976
205	14463	9899
206	14533	9829
207	14601	9757
208	14673	9688
209	14733	9611
210	14801	9540
211	14865	9466
212	14942	9400
213	15007	9327
214	15062	9247
215	15132	9177
216	15202	9107
217	15268	9035
218	15338	8964
219	15405	8893
220	15478	8824
221	15538	8749
222	15599	8673
223	15663	8601
224	15730	8529
225	15803	8461
226	15878	8393
227	15960	8330
228	16042	8266
229	16115	8198
230	16169	8119
231	16239	8049
232	16300	7975
233	16365	7903
234	16448	7839
235	16517	7769
236	16582	7696
237	16654	7627
238	16726	7558
239	16781	7481
240	16845	7409
241	16911	7337
242	16982	7268
243	17051	7198
244	17115	7125
245	17175	7051
246	17240	6979
247	17314	6911
248	17374	6838
249	17428	6762
250	17492	6690
251	17551	6616
252	17621	6547
253	17696	6479
254	17762	6408
255	17823	6335
256	17893	6266
257	17966	6197
258	18025	6124
259	18082	6050
260	18156	5982
261	18228	5913
262	18296	5843
263	18368	5774
264	18431	5703
265	18493	5631
266	18568	5563
267	18639	5494
268	18714	5426
269	18785	5357
270	18862	5289
271	18931	5220
272	19013	5153
273	19083	5084
274	19154	5014
275	19222	4944
276	19285	4873
277	19356	4804
278	19421	4733
279	19496	4665
280	19574	4597
281	19637	4526
282	19707	4456
283	19770	4385
284	19837	4315
285	19900	4244
286	19964	4173
287	20031	4103
288	20097	4033
289	20166	3963
290	20220	3891
291	20285	3820
292	20353	3751
293	20421	3681
294	20492	3612
295	20570	3544
296	20646	3475
297	20708	3405
298	20778	3335
299	20843	3265
300	20916	3196
301	20991	3127
302	21059	3058
303	21124	2987
304	21196	2918
305	21276	2850
306	21342	2780
307	21397	2709
308	21467	2639
309	21530	2569
310	21595	2499
311	21657	2429
312	21735	2361
313	21810	2292
314	21878	2222
315	21938	2152
316	22000	2082
317	22063	2012
318	22127	1942
319	22198	1872
320	22268	1803
321	22333	1733
322	22393	1663
323	22465	1594
324	22548	1526
325	22621	1457
326	22684	1387
327	22745	1317
328	22808	1247
329	22874	1178
330	22957	1109
331	23025	1040
332	23102	971
333	23176	902
334	23248	832
335	23313	763
336	23378	693
337	23444	624
338	23521	555
339	23582	485
340	23648	416
341	23715	346
342	23781	277
343	23855	208
344	23938	138
345	24017	69
346	24084	0
